KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
532886,Ch·¯ovice,"7,14 %","0,89 %","0,00 %","9,82 %","0,00 %","13,39 %","15,17 %","0,00 %","0,89 %","3,57 %","0,00 %","0,89 %","8,92 %","0,00 %","0,00 %","0,00 %","33,03 %","0,89 %","0,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,46 %","0,00 %"
532878,Chleby,"9,37 %","0,00 %","0,00 %","0,00 %","0,00 %","28,12 %","6,25 %","3,12 %","3,12 %","0,00 %","0,00 %","0,00 %","6,25 %","0,00 %","0,00 %","0,00 %","31,25 %","0,00 %","0,00 %","3,12 %","0,00 %","0,00 %","0,00 %","0,00 %","9,37 %","0,00 %"
532045,ChlÌstov,"16,47 %","0,00 %","0,00 %","2,84 %","0,00 %","10,22 %","2,84 %","2,84 %","0,00 %","1,13 %","0,00 %","0,00 %","18,18 %","0,00 %","0,00 %","3,97 %","35,22 %","0,00 %","0,00 %","1,70 %","0,00 %","1,13 %","0,00 %","0,56 %","2,84 %","0,00 %"
529770,Chlum,"5,74 %","0,00 %","0,00 %","3,44 %","0,00 %","5,74 %","6,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,59 %","0,00 %","0,00 %","0,00 %","58,62 %","0,00 %","0,00 %","6,89 %","0,00 %","0,00 %","0,00 %","1,14 %","6,89 %","0,00 %"
529788,Chmeln·,"4,21 %","0,00 %","0,00 %","8,42 %","0,00 %","4,21 %","0,00 %","1,05 %","1,05 %","0,00 %","0,00 %","0,00 %","11,57 %","0,00 %","0,00 %","4,21 %","24,21 %","0,00 %","0,00 %","34,73 %","0,00 %","0,00 %","1,05 %","0,00 %","5,26 %","0,00 %"
529796,Chocerady,"11,22 %","0,15 %","0,15 %","7,58 %","0,00 %","6,37 %","7,73 %","1,36 %","0,60 %","1,82 %","0,00 %","0,30 %","18,05 %","0,15 %","0,00 %","6,98 %","25,94 %","0,00 %","0,15 %","1,82 %","0,00 %","1,21 %","0,30 %","0,00 %","8,04 %","0,00 %"
532606,Choratice,"14,70 %","0,00 %","0,00 %","5,88 %","0,00 %","11,76 %","2,94 %","0,00 %","2,94 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,82 %","29,41 %","0,00 %","0,00 %","17,64 %","0,00 %","0,00 %","0,00 %","0,00 %","5,88 %","0,00 %"
529818,Chot˝öany,"9,24 %","0,00 %","0,00 %","9,93 %","0,00 %","10,61 %","5,47 %","0,34 %","1,71 %","2,05 %","0,34 %","0,00 %","11,98 %","0,00 %","0,34 %","1,71 %","31,16 %","0,00 %","0,00 %","2,39 %","0,00 %","0,34 %","0,34 %","0,68 %","11,30 %","0,00 %"
532037,Chr·öùany,"16,26 %","0,00 %","0,00 %","0,81 %","0,00 %","7,31 %","11,38 %","0,81 %","0,81 %","0,00 %","0,81 %","0,00 %","16,26 %","0,00 %","0,00 %","3,25 %","32,52 %","0,00 %","0,00 %","7,31 %","0,00 %","0,00 %","0,00 %","0,00 %","2,43 %","0,00 %"
529842,Jankov,"5,36 %","0,00 %","0,00 %","6,52 %","0,23 %","11,88 %","7,92 %","0,69 %","0,46 %","1,16 %","0,00 %","0,00 %","11,42 %","0,00 %","0,00 %","5,59 %","33,79 %","0,00 %","0,69 %","4,66 %","0,00 %","0,23 %","0,46 %","0,23 %","8,15 %","0,46 %"
